Category_ID,Category_Name,Video_Title,Channel_Title,View_Count,Like_Count,Comment_Count,Published_At,Thumbnail_URL,Video_ID
23,Comedy,궁합이 너무 잘 맞으면..❤️,밈슐랭guide,1058509,11172,223,2025-12-24T11:50:50Z,https://i.ytimg.com/vi/d26chvITmn8/maxresdefault.jpg,d26chvITmn8
23,Comedy,생활비 하루만에 다 쓴 아내에게 화내는 남편 #장미빛연인들,영드 좋아하는 남자,2112308,38416,1456,2025-12-23T11:27:13Z,https://i.ytimg.com/vi/s-Ax4uAK3nY/maxresdefault.jpg,s-Ax4uAK3nY
23,Comedy,장차 크게 될 놈이라 느껴지는 이로운의 수상소감 #이로운 #시상식 #수상소감,짤막이슈,2326777,69168,849,2025-12-21T10:00:07Z,https://i.ytimg.com/vi/2AE98nEAXwo/maxresdefault.jpg,2AE98nEAXwo
23,Comedy,결국 장도연도 웃참 실패ㅋㅋ #코미디빅리그,디글 클래식 :Diggle Classic,3101472,21057,447,2025-12-19T12:01:44Z,https://i.ytimg.com/vi/pyatFnIlntA/maxresdefault.jpg,pyatFnIlntA
26,Howto & Style,영하4도에 한혜진 수영장에 뛰어든 기안84,만점엔터,2266457,34909,606,2025-12-23T06:25:00Z,https://i.ytimg.com/vi/3ddHsPQ6C94/maxresdefault.jpg,3ddHsPQ6C94
26,Howto & Style,결국 촬영하다 울어버린 채령이,JYPactory,1747661,30604,581,2025-12-24T00:00:37Z,https://i.ytimg.com/vi/RvSKuhBwmLA/maxresdefault.jpg,RvSKuhBwmLA
26,Howto & Style,이혼녀와 결혼하겠다는 윤택에게 아버지가 건넨 충격적인 한마디,꽃보다좋아,1886074,49159,62,2025-12-22T10:01:35Z,https://i.ytimg.com/vi/tmh5c4t7g9k/maxresdefault.jpg,tmh5c4t7g9k
26,Howto & Style,말을 사랑하는 소녀,누리뉘리,790917,28561,41,2025-12-25T00:08:00Z,https://i.ytimg.com/vi/cZZ93PqVXcU/maxresdefault.jpg,cZZ93PqVXcU
26,Howto & Style,케이크 투톤 러플을 깔끔하게 뽑는 법,쓱딱,1085492,18583,159,2025-12-24T08:50:00Z,https://i.ytimg.com/vi/X4I41GsGV3g/maxresdefault.jpg,X4I41GsGV3g
26,Howto & Style,재능으로 모든걸 말해주겠다는 전설의 작가,아기강아지 원두,1838641,27605,364,2025-12-21T09:29:36Z,https://i.ytimg.com/vi/MYl6GCQH3d8/maxresdefault.jpg,MYl6GCQH3d8
26,Howto & Style,1년전 기안84가 예쁜 여동생에게 이토록 조언한 이유,1분수다,3112333,60564,2190,2025-12-20T07:40:10Z,https://i.ytimg.com/vi/v7_NCtqjd_k/maxresdefault.jpg,v7_NCtqjd_k
26,Howto & Style,개쩌는 별별 워터슬라이드,랭킹을확인하세요,3526232,63522,380,2025-12-19T12:18:00Z,https://i.ytimg.com/vi/6iFPUiy_LtU/maxresdefault.jpg,6iFPUiy_LtU
26,Howto & Style,파인다이닝 가서 장난치지마라,유쾌하냥,1482335,60420,711,2025-12-23T10:00:14Z,https://i.ytimg.com/vi/AEeKKsebzaA/maxresdefault.jpg,AEeKKsebzaA
26,Howto & Style,심심했던 최후의 결과,반전연구소,950518,30795,195,2025-12-21T09:01:16Z,https://i.ytimg.com/vi/loQcOpanBKc/maxresdefault.jpg,loQcOpanBKc
26,Howto & Style,닌자의 다목적 무기,깔끔맨,794028,5013,328,2025-12-24T16:53:59Z,https://i.ytimg.com/vi/rJNNFf2CFVA/maxresdefault.jpg,rJNNFf2CFVA
26,Howto & Style,Fishing on a Frozen lake #fishing #fish #camping,RAMPE,39506700,1018065,2247,2025-12-22T10:10:00Z,https://i.ytimg.com/vi/43VAkQJ8kJE/maxresdefault.jpg,43VAkQJ8kJE
26,Howto & Style,백인 흑인이 동양인을 부러워하는 이유,숏싹숏싹,992202,16908,492,2025-12-24T23:00:02Z,https://i.ytimg.com/vi/asZ7FiVV3hs/maxresdefault.jpg,asZ7FiVV3hs
26,Howto & Style,동생이 만든 음식에 토를 달면 안 되는 이유,오늘의가족,764783,16907,352,2025-12-25T03:00:21Z,https://i.ytimg.com/vi/CSFJqIfelb4/maxresdefault.jpg,CSFJqIfelb4
26,Howto & Style,700만명이 속은 줄넘기 영상의 비밀 🤔,י,612198,9804,69,2025-12-25T01:40:02Z,https://i.ytimg.com/vi/LcW7dZcfOYQ/maxresdefault.jpg,LcW7dZcfOYQ
26,Howto & Style,대한민국 최초 24시간 편의점 떡볶이,쩌비,2503703,26277,823,2025-12-19T06:36:12Z,https://i.ytimg.com/vi/PDGNIVxlQqg/maxresdefault.jpg,PDGNIVxlQqg
26,Howto & Style,바다에서 벌어진 묘한 상황ㅋㅋ,쇼츠프레소,525452,6384,193,2025-12-23T08:01:04Z,https://i.ytimg.com/vi/kMyOHVxVrqo/maxresdefault.jpg,kMyOHVxVrqo
26,Howto & Style,아니 나무 무늬를 그려서 만드는거였어?,유머고슴이,593501,8946,165,2025-12-25T00:00:18Z,https://i.ytimg.com/vi/JJxX5skAWgM/maxresdefault.jpg,JJxX5skAWgM
26,Howto & Style,하루 1분이면 아랫배가 쏘옥 #shorts #운동 #복근운동 #다이어트 #아랫배,머슬로그,474646,7790,141,2025-12-25T09:17:44Z,https://i.ytimg.com/vi/aAspenI8oZo/maxresdefault.jpg,aAspenI8oZo
26,Howto & Style,남매끼리 역대급 랜덤요리 게임 6탄ㅋㅋㅋㅋㅋㅋ,한살차이 [Hansal],765740,15705,114,2025-12-23T15:23:25Z,https://i.ytimg.com/vi/YEsBPQNa2Fk/maxresdefault.jpg,YEsBPQNa2Fk
28,Science & Technology,2008년에 상상한 스마트폰? 😮,코리수의게임세상,1998191,37211,1768,2025-12-18T14:11:34Z,https://i.ytimg.com/vi/qE0BtKQyEzs/maxresdefault.jpg,qE0BtKQyEzs
28,Science & Technology,AI끼리 대화 중 해킹을 감지하면,일분일초,346005,7117,90,2025-12-25T11:01:17Z,https://i.ytimg.com/vi/ez3KVf4ScNw/maxresdefault.jpg,ez3KVf4ScNw
28,Science & Technology,엄청난 아이폰의 신기술,니들이유머를알아?,839258,14826,151,2025-12-20T04:48:01Z,https://i.ytimg.com/vi/GncAB0r-q7c/maxresdefault.jpg,GncAB0r-q7c
28,Science & Technology,아이폰 17 프로맥스를 사러 온 아이쇼스피드,알유스피드?,464834,18762,84,2025-12-21T11:56:27Z,https://i.ytimg.com/vi/EvVC4zi3JFA/maxresdefault.jpg,EvVC4zi3JFA
28,Science & Technology,아무도 몰랐던 무선 이어폰에 숨겨진 기능 ㄷㄷ,지식줄고양,1223093,20886,327,2025-12-18T07:00:01Z,https://i.ytimg.com/vi/a2K0QOF-q64/maxresdefault.jpg,a2K0QOF-q64
28,Science & Technology,애플아이폰프로17vs삼성갤럭시트라이폴드,보겸s,1963163,40014,4233,2025-12-16T10:27:48Z,https://i.ytimg.com/vi/wqgIULBlrOM/maxresdefault.jpg,wqgIULBlrOM
